Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
30,Call of Duty: Modern Warfare 3,x360,2011.0,shooter,activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,gb,1998.0,role-playing,nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,x360,2010.0,shooter,activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,3ds,2013.0,role-playing,nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,ps4,2015.0,shooter,activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,ps3,2012.0,shooter,activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,x360,2012.0,shooter,activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,x360,2009.0,shooter,activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,ps3,2011.0,shooter,activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,ps2,2001.0,action,take-two interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,wii,2008.0,fighting,nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,ps3,2010.0,shooter,activision,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,ds,2005.0,simulation,nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,3ds,2011.0,racing,nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,x360,2007.0,shooter,microsoft game studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,ps4,2014.0,action,take-two interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,ds,2009.0,action,nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,n64,1996.0,platform,nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,ps2,2004.0,racing,sony computer entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,wii,2007.0,platform,nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3ds,2014.0,role-playing,nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,gb,1992.0,adventure,nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,x360,2008.0,action,take-two interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,ps,1997.0,racing,sony computer entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,3ds,2011.0,platform,nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,ps3,2010.0,racing,sony computer entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,ps3,2009.0,shooter,activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,ps3,2008.0,action,take-two interactive,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,snes,1993.0,platform,nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,gba,2004.0,role-playing,nintendo,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,ds,2004.0,platform,nintendo,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,wii,2011.0,misc,ubisoft,6.05,3.15,0.0,1.07,10.26
62,Call of Duty: Ghosts,x360,2013.0,shooter,activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,x360,2010.0,shooter,microsoft game studios,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,n64,1996.0,racing,nintendo,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,3ds,2012.0,platform,nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo 4,x360,2012.0,shooter,microsoft game studios,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,ps,1997.0,role-playing,sony computer entertainment,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,ps3,2013.0,shooter,activision,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,wii,2010.0,misc,ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,ps,1999.0,racing,sony computer entertainment,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,x360,2007.0,shooter,activision,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,snes,1994.0,platform,nintendo,4.36,1.71,3.0,0.23,9.3
73,Minecraft,x360,2013.0,misc,microsoft game studios,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,3ds,2012.0,simulation,nintendo,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,ds,2007.0,misc,nintendo,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,x360,2011.0,role-playing,bethesda softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,snes,1992.0,racing,nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,ps4,2015.0,sports,electronic arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,wii,2010.0,misc,nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo 2,xb,2004.0,shooter,microsoft game studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,wii,2007.0,misc,nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,ds,2012.0,role-playing,nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,ps3,2012.0,action,electronic arts,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,pc,2009.0,simulation,electronic arts,0.98,6.42,0.0,0.71,8.11
85,GoldenEye 007,n64,1997.0,shooter,nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,wii,2007.0,sports,sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,ps2,2001.0,role-playing,sony computer entertainment,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,ps,1999.0,role-playing,squaresoft,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,ds,2008.0,role-playing,nintendo,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,2600,1982.0,puzzle,atari,7.28,0.45,0.0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,psp,2005.0,action,take-two interactive,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,wii,2010.0,platform,nintendo,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),ps4,2015.0,shooter,electronic arts,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,ps4,2014.0,shooter,activision,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,n64,1998.0,action,nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,ps,1997.0,platform,sony computer entertainment,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,nes,1988.0,platform,nintendo,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,3ds,2014.0,fighting,nintendo,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,x360,2008.0,shooter,activision,4.79,1.9,0.0,0.69,7.37
100,Battlefield 3,x360,2011.0,shooter,electronic arts,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,wii,2006.0,action,nintendo,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,xone,2015.0,shooter,activision,4.52,2.09,0.01,0.67,7.3
103,Just Dance,wii,2009.0,misc,ubisoft,3.51,3.03,0.0,0.73,7.27
104,Battlefield 3,ps3,2011.0,shooter,electronic arts,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,ps2,2003.0,racing,electronic arts,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,ps,1998.0,fighting,sony computer entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,ps,1998.0,platform,sony computer entertainment,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,gc,2001.0,fighting,nintendo,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,wiiu,2014.0,racing,nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,ps4,2015.0,role-playing,bethesda softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,gc,2003.0,racing,nintendo,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,wii,2012.0,misc,ubisoft,4.14,2.21,0.0,0.56,6.91
113,FIFA 14,ps3,2013.0,sports,electronic arts,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,ps2,2004.0,racing,electronic arts,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,ps2,2002.0,shooter,electronic arts,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,ps3,2011.0,action,sony computer entertainment,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,ps,1996.0,platform,sony computer entertainment,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,wii,2010.0,sports,505 games,3.5,2.64,0.0,0.67,6.81
119,Gears of War 2,x360,2008.0,shooter,microsoft game studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,ps3,2009.0,action,sony computer entertainment,3.27,2.25,0.21,1.0,6.73
121,Call of Duty 4: Modern Warfare,ps3,2007.0,shooter,activision,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,ps3,2011.0,sports,electronic arts,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,ds,2005.0,misc,nintendo,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,ps3,2010.0,action,take-two interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,ps4,2014.0,sports,electronic arts,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,wii,2010.0,platform,nintendo,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,ps3,2011.0,role-playing,bethesda softworks,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,nes,1986.0,action,nintendo,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,ps3,2012.0,action,ubisoft,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,xb,2001.0,shooter,microsoft game studios,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,gba,2004.0,role-playing,nintendo,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,ps2,2002.0,role-playing,sony computer entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,gb,2000.0,role-playing,nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,x360,2009.0,shooter,microsoft game studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,x360,2010.0,action,take-two interactive,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,gc,2002.0,platform,nintendo,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,snes,1992.0,fighting,capcom,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,pc,2004.0,role-playing,activision,0.07,6.21,0.0,0.0,6.28
139,Driver,ps,1999.0,action,gt interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,x360,2010.0,sports,microsoft game studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,x360,2011.0,shooter,microsoft game studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,x360,2006.0,shooter,microsoft game studios,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,ps2,2001.0,action,konami digital entertainment,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,gen,1992.0,platform,sega,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,ps3,2008.0,action,konami digital entertainment,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,ps,1998.0,action,konami digital entertainment,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,ps3,2013.0,action,sony computer entertainment europe,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,ps2,2006.0,role-playing,square enix,1.88,0.0,2.33,1.74,5.95
149,LittleBigPlanet,ps3,2008.0,platform,sony computer entertainment,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,ds,2009.0,role-playing,nintendo,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,wii,2007.0,action,lucasarts,3.66,1.63,0.0,0.53,5.83
152,Resident Evil 2,ps,1998.0,action,virgin interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,ps,1996.0,fighting,sony computer entertainment,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,ds,2006.0,simulation,505 games,3.13,1.94,0.07,0.58,5.72
155,Destiny,ps4,2014.0,shooter,activision,2.49,2.05,0.16,0.96,5.65
156,Tetris,nes,1988.0,puzzle,nintendo,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,ps3,2009.0,action,ubisoft,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,n64,1999.0,fighting,nintendo,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,x360,2007.0,adventure,ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,ps3,2011.0,action,warner bros. interactive entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,x360,2009.0,racing,microsoft game studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,psp,2008.0,role-playing,capcom,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,gba,2001.0,platform,nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,gba,2001.0,racing,nintendo,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,gba,2001.0,platform,nintendo,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,n64,1999.0,strategy,nintendo,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,ps3,2008.0,shooter,activision,2.72,1.87,0.0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,ps2,2001.0,platform,universal interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,ps3,2014.0,misc,sony computer entertainment,1.97,2.51,0.0,0.94,5.42
170,Final Fantasy XIII,ps3,2009.0,role-playing,square enix,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,gb,1989.0,puzzle,nintendo,2.18,0.96,2.0,0.2,5.34
172,Pokemon Pinball,gb,1999.0,misc,nintendo,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,x360,2012.0,action,ubisoft,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,ps,2000.0,role-playing,squaresoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,ps2,2003.0,role-playing,electronic arts,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,n64,1999.0,platform,nintendo,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,x360,2009.0,action,ubisoft,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,ds,2007.0,puzzle,nintendo,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,ps,1997.0,action,eidos interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,ps2,2009.0,sports,electronic arts,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,ps2,2004.0,role-playing,square enix,0.65,0.75,3.61,0.2,5.21
182,Diablo III,pc,2012.0,role-playing,activision,2.43,2.15,0.0,0.62,5.2
183,Super Mario Bros. 3,gba,2003.0,platform,nintendo,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,wiiu,2012.0,platform,nintendo,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,gb,1994.0,platform,nintendo,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,x360,2012.0,action,electronic arts,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,ds,2007.0,action,nintendo,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,snes,1995.0,platform,nintendo,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,3ds,2013.0,simulation,nintendo,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,ds,2008.0,sports,sega,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,ps2,2003.0,shooter,electronic arts,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,gb,1992.0,platform,nintendo,2.71,0.61,1.7,0.11,5.13
193,Fable III,x360,2010.0,role-playing,microsoft game studios,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,xone,2014.0,shooter,activision,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,pc,1996.0,simulation,microsoft game studios,3.22,1.69,0.0,0.2,5.12
196,Guitar Hero II,ps2,2006.0,misc,redoctane,3.81,0.63,0.0,0.68,5.12
197,Resident Evil 5,ps3,2009.0,action,capcom,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,xone,2014.0,action,take-two interactive,2.66,2.01,0.0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,psp,2006.0,action,take-two interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,ps3,2010.0,sports,electronic arts,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,gb,1999.0,platform,nintendo,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,ps,1996.0,action,virgin interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,ps,1999.0,sports,activision,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,wiiu,2014.0,fighting,nintendo,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,ps,1999.0,strategy,eidos interactive,2.79,1.89,0.0,0.33,5.01
206,Spyro the Dragon,ps,1998.0,platform,sony computer entertainment,3.36,1.36,0.07,0.21,5.0
207,Link's Crossbow Training,wii,2007.0,shooter,nintendo,3.06,1.18,0.29,0.46,5.0
208,Guitar Hero III: Legends of Rock,ps2,2007.0,misc,activision,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,x360,2008.0,role-playing,bethesda softworks,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,ds,2007.0,role-playing,nintendo,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,ps3,2007.0,action,sony computer entertainment,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,ps2,2005.0,sports,electronic arts,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,ds,2007.0,action,lucasarts,2.89,1.54,0.0,0.46,4.9
214,Diddy Kong Racing,n64,1997.0,racing,nintendo,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,psp,2010.0,role-playing,capcom,0.0,0.0,4.87,0.0,4.87
216,Dr. Mario,nes,1990.0,puzzle,nintendo,2.62,0.6,1.52,0.1,4.85
217,God of War III,ps3,2010.0,action,sony computer entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,pc,2010.0,strategy,activision,2.56,1.68,0.0,0.59,4.83
219,Assassin's Creed,ps3,2007.0,adventure,ubisoft,1.91,2.0,0.09,0.83,4.83
220,FIFA 15,ps3,2014.0,sports,electronic arts,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,ps,1999.0,racing,sony computer entertainment,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,ps4,2016.0,sports,electronic arts,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,x360,2011.0,action,warner bros. interactive entertainment,2.99,1.31,0.04,0.41,4.76
224,Driver 2,ps,2000.0,action,atari,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,ps2,2003.0,racing,vivendi games,1.73,2.19,0.0,0.79,4.7
226,Tony Hawk's Pro Skater 2,ps,2000.0,sports,activision,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,wii,2008.0,simulation,nintendo,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,ps2,2002.0,action,electronic arts,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,x360,2011.0,racing,microsoft game studios,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,ps,1996.0,action,eidos interactive,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,wii,2007.0,misc,activision,3.06,1.12,0.0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,snes,1991.0,action,nintendo,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,gc,2002.0,action,nintendo,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,wii,2009.0,sports,sega,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,3ds,2013.0,action,nintendo,1.78,1.39,1.1,0.3,4.58
236,Splatoon,wiiu,2015.0,shooter,nintendo,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,ps4,2014.0,action,sony computer entertainment,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,x360,2007.0,misc,activision,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2005,ps2,2004.0,sports,electronic arts,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,2600,1981.0,platform,activision,4.21,0.24,0.0,0.05,4.5
241,Madden NFL 07,ps2,2006.0,sports,electronic arts,3.63,0.24,0.01,0.61,4.49
242,Spider-Man: The Movie,ps2,2002.0,action,activision,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII: Warriors of Eden,ps,2000.0,role-playing,enix corporation,0.2,0.14,4.1,0.02,4.47
244,Uncharted: The Nathan Drake Collection,ps4,2015.0,action,sony computer entertainment,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,ps3,2014.0,shooter,activision,1.54,1.94,0.19,0.77,4.45
246,God of War,ps2,2005.0,action,sony computer entertainment,2.71,1.29,0.02,0.43,4.45
247,Nintendo Land,wiiu,2012.0,misc,nintendo,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,wii,2010.0,misc,ubisoft,2.67,1.35,0.01,0.39,4.42
249,Tony Hawk's Pro Skater 3,ps2,2001.0,sports,activision,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,ps2,2006.0,sports,konami digital entertainment,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,x360,2006.0,role-playing,take-two interactive,2.82,1.05,0.13,0.4,4.39
252,Zelda II: The Adventure of Link,nes,1987.0,adventure,nintendo,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,ps2,2005.0,racing,electronic arts,2.03,1.79,0.08,0.47,4.37
254,Resistance: Fall of Man,ps3,2006.0,shooter,sony computer entertainment,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,gen,1991.0,platform,sega,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,ps2,2005.0,role-playing,square enix,2.2,0.58,1.38,0.17,4.33
257,FIFA 14,x360,2013.0,sports,electronic arts,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,x360,2014.0,shooter,activision,2.75,1.18,0.0,0.37,4.31
259,Asteroids,2600,1980.0,shooter,atari,4.0,0.26,0.0,0.05,4.31
260,Fable II,x360,2008.0,role-playing,microsoft game studios,2.51,1.27,0.11,0.41,4.31
261,Halo 5: Guardians,xone,2015.0,shooter,microsoft game studios,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,wiiu,2013.0,platform,nintendo,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,ps3,2009.0,action,eidos interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,ps3,2011.0,action,ubisoft,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,gba,2001.0,misc,namco bandai games,3.0,1.11,0.05,0.07,4.24
266,Metal Gear Solid 3: Snake Eater,ps2,2004.0,action,konami digital entertainment,1.46,0.0,0.83,1.93,4.23
267,Daxter,psp,2006.0,platform,sony computer entertainment,2.45,1.02,0.0,0.75,4.22
268,Warcraft II: Tides of Darkness,pc,1995.0,strategy,activision,1.7,2.27,0.0,0.23,4.21
269,The Legend of Zelda: Ocarina of Time,3ds,2011.0,action,nintendo,2.03,1.27,0.62,0.3,4.21
